Molecule Name,SMILES,MPPB
E-0011250,Cc1c2ccncc2cc2c3cc(C(=O)NC[C@@H](C)O)ccc3n(C)c12,1.6
E-0011251,Cc1c2ccncc2cc2c3cc(C(=O)N[C@H](C)CN(C)C)ccc3n(C)c12,6.0
E-0011252,Cc1c2ccncc2cc2c3cc(C(=O)NC[C@H](C)O)ccc3n(C)c12,2.6
E-0011253,C[C@H](N)COc1ccc2c(c1)c1nc3cnccc3nc1n2C,24.0
E-0011255,COC[C@H](C)NC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,0.9
E-0011256,Cn1c2ccc(OCC(N)=O)cc2c2nc3cnccc3nc21,5.9
E-0011259,NCCCNc1nc(NC(=O)OCCCN)cc2c(-c3ccnc(N4CCNCC4)c3)cccc12,14.1
E-0011266,Cc1nc(CCCNc2ccccn2)cc2c3cc(OC[C@H](C)N)ccc3n(C)c12,7.2
E-0011267,C[C@H](N)COc1ccc2c(c1)c1ccc(-c3cccnc3)cc1n2C,0.7
E-0011270,C[C@H](N)COc1ccc2c(c1)c1cc(-c3ccncc3)ccc1n2C,0.8
E-0011272,Cn1c2ccc(OCC(N)=O)cc2c2ccc(-c3cccnc3)cc21,1.8
E-0011273,Cc1c2ccnc(C(=O)NCCN)c2cc2c3ccccc3n(C)c12,1.9
E-0011276,C[C@H](N)COc1ccc2c(c1)c1ccc(-c3ccncc3)cc1n2C,0.7
E-0011277,Cc1c2ccncc2cc2c3cc(C(=O)NC[C@@H](C)N(C)C)ccc3n(C)c12,3.5
E-0011278,Cn1c2ccc(OCC(N)=O)cc2c2ccc(-c3ccncc3)cc21,22.6
E-0011279,Cc1c2ccncc2cc2c3cc(C(=O)N[C@@H](C)CN(C)C)ccc3n(C)c12,3.9
E-0011280,Cn1c2ccc(OCC(N)=O)cc2c2nc3ccccc3nc21,0.9
E-0011282,Cn1c2ccc(OCCN3CCCCC3)cc2c2nc3ccccc3nc21,1.2
E-0011283,CCN(CC)CCOc1ccc2c(c1)c1nc3cnccc3nc1n2C,22.3
E-0011285,Cc1c2ccncc2cc2c3cc(C(=O)NCC(N)=O)ccc3n(C)c12,29.7
E-0011286,Cc1c2ccncc2cc2c3cc(C(=O)N[C@@H](C)C(N)=O)ccc3n(C)c12,60.0
E-0011287,Cc1c2ccccc2cc2c3cc(OCC(N)=O)ccc3n(C)c12,2.3
E-0011288,Cc1c2ccncc2cc2c3cc(C(=O)N[C@H](C)C(N)=O)ccc3n(C)c12,3.4
E-0011289,COC(C)(C)CNC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,1.1
E-0011290,CCN(CC)CCCOc1ccc2c(c1)c1nc3cnccc3nc1n2C,16.6
E-0011291,Cn1c2ccc(OCC(N)=O)cc2c2nc3cnccc3cc21,1.7
E-0011292,Cn1c2ccc(OCCN3CCCCC3)cc2c2nc3cnccc3cc21,6.2
E-0011293,Cn1c2ccc(C(=O)NCCO)cc2c2nc3ccccc3nc21,1.8
E-0011294,COC1CCN(CCOc2ccc3c(c2)c2nc4cnccc4nc2n3C)CC1,15.3
E-0011295,Cn1c2ccc(OCCN3CCC(F)CC3)cc2c2nc3cnccc3nc21,4.3
E-0011296,CN[C@@H](C)COc1ccc2c(c1)c1nc3cnccc3nc1n2C,38.1
E-0011297,Cc1c2ccncc2cc2c3cc(C(=O)NC[C@H](C)N(C)C)ccc3n(C)c12,8.2
E-0011298,Cc1c2ccncc2cc2c3cc(C(=O)NCCOC(C)(C)C)ccc3n(C)c12,2.3
E-0011299,COCC(C)(C)NC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,0.5
E-0011300,Cn1c2ccc(OCCN3CCCC3)cc2c2nc3cnccc3nc21,22.3
E-0011301,Cn1c2ccc(OCCN3CCOCC3)cc2c2nc3cnccc3cc21,7.1
E-0011302,Cn1c2ccc(OCCCN3CCCCC3)cc2c2nc3cnccc3nc21,10.3
E-0011303,Cn1c2ccc(OCCCCN3CCCCC3)cc2c2nc3cnccc3nc21,13.5
E-0011305,COc1cccc(-c2cn(C)c3ccc(OCCCN4CCCC4)cc23)c1,2.2
E-0011306,COc1cncc(-c2cn(C)c3ccc(OCCCN4CCCC4)cc23)c1,8.4
E-0011307,C[C@H](N)COc1ccc2c(c1)c1ccc(-c3ccccc3)cc1n2C,0.2
E-0011308,CC(C)N[C@@H](C)COc1ccc2c(c1)c1nc3cnccc3nc1n2C,22.8
E-0011309,CN1CCN=C1COc1ccc2c(c1)c1nc3cnccc3nc1n2C,26.6
E-0011310,CCCN[C@@H](C)COc1ccc2c(c1)c1nc3cnccc3nc1n2C,21.6
E-0011311,Cn1c2ccc(OCCCN3CCCC3)cc2c2nc3cnccc3nc21,26.9
E-0011312,Cn1c2ccc(OCCCCN3CCCC3)cc2c2nc3cnccc3nc21,17.1
E-0011313,C[C@@H](COc1ccc2c(c1)c1nc3cnccc3nc1n2C)N1CCCCC1,20.8
E-0011314,C[C@H](N)COc1ccc2c(c1)c1nc3cnccc3cc1n2C,20.4
E-0011315,Cn1c2ccc(OC[C@@H]3CCCN3)cc2c2nc3cnccc3nc21,26.4
E-0011316,Cn1cc(-c2cccnc2)c2cc(OCCCN3CCCC3)ccc21,14.2
E-0011317,Cc1cc(C#N)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,1.9
E-0011626,Cc1c2ccncc2cc2c3cc(Oc4ccnc(N)c4)ccc3n(C)c12,0.3
E-0011627,Cc1c2ccncc2cc2c3cc(Oc4cccc(N)n4)ccc3n(C)c12,0.4
E-0011628,Cc1c2ccncc2cc2c3cc(Oc4ccccn4)ccc3n(C)c12,1.4
E-0011629,COCCNC(=O)c1ccc2c(c1)c1nc3cnccc3nc1n2C,12.0
E-0011630,Cc1c2ccncc2cc2c3cc(Oc4ccncc4)ccc3n(C)c12,0.6
E-0011631,Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3cc(F)c(F)cc3n(C)c12,1.3
E-0011632,Cn1c2ccc(OCCNC3CCC(F)(F)CC3)cc2c2nc3cnccc3nc21,3.7
E-0011633,Cc1c2ccnc(C(=O)NCCN)c2cc2c3cc(F)ccc3n(C)c12,1.8
E-0011634,Cn1c2ccc(OCC(N)=O)cc2c2cc3ccccc3nc21,1.7
E-0011635,Cc1c2ccnc(C(=O)NCCN)c2cc2c3cc(F)c(F)cc3n(C)c12,0.6
E-0011636,Cn1c2ccc(OCCNC3CCOCC3)cc2c2nc3cnccc3nc21,21.1
E-0011637,Cc1cc(-n2cccn2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,0.6
E-0011638,Cc1cc(-n2ccnc2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,1.7
E-0011639,Cn1c2ccc(OCCN3CCCCC3)cc2c2cc3ccccc3nc21,3.4
E-0011640,Cn1c2ccc(OCC3=NCCN3)cc2c2nc3cnccc3cc21,16.7
E-0011641,Cn1c2ccc(OCCN3CCCCC3)cc2c2nc3cc(Cl)c(Cl)cc3nc21,0.4
E-0011642,Cn1c2ccc(OCCN3CCCCC3)cc2c2cc(-c3ccncc3)ccc21,4.0
E-0011643,Cn1c2ccc(C(=O)NCCO)cc2c2nc3cnccc3cc21,10.6
E-0011644,Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3cc(F)ccc3n(C)c12,6.3
E-0011645,Cn1c2ccc(OCCN3CCCCC3)cc2c2ccc(-c3ccncc3)cc21,1.3
E-0011646,O=C1CCc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2N1,4.8
E-0011647,Cn1c(=O)ccc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc21,3.7
E-0011648,c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2cn1,2.8
E-0011649,C[C@H](N)COc1ccc2c(c1)c1cc3ccccc3nc1n2C,2.5
E-0011650,Cc1c2ccncc2cc2c3cc(Oc4cccnc4)ccc3n(C)c12,0.1
E-0011651,Cn1c2ccc(OCC(N)=O)cc2c2cc3ccncc3nc21,12.9
E-0011652,Cc1c2ccncc2cc2c3ccccc3n(CCN(C)C)c12,1.3
E-0011653,Cc1c2ccnc(C(=O)NCCN(C)C)c2cc2c3cc(F)c(F)cc3n(C)c12,0.9
E-0011654,Cn1c2ccc(OCCN3CCCCC3)cc2c2cc3ccncc3nc21,6.7
E-0011655,CN1CCN=C1COc1ccc2c(c1)c1cc3ccccc3nc1n2C,0.8
E-0011656,Cn1c2ccc(OCCN3CCCCC3)cc2c2nc3cc(F)c(F)cc3nc21,2.2
E-0011658,CN1C(=O)CCc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc21,4.5
E-0011659,COc1ccc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2n1,0.5
E-0011660,c1cc(OCCN2CCCCC2)cc(-c2ccc3ccnnc3c2)c1,11.0
E-0011661,c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)nc2cn1,18.9
E-0011662,O=C1Cc2ccc(-c3ccc(O)cc3)cc2N1,4.7
E-0011663,Oc1ccc(-c2ccc3ccncc3c2)cc1,1.1
E-0011664,O=C1Cc2ccc(-c3cccc(O)c3)cc2N1,5.5
E-0011665,CN1C(=O)Cc2ccc(-c3cccc(O)c3)cc21,4.3
E-0011666,Oc1cccc(-c2ccc3ccncc3c2)c1,1.7
E-0011667,COc1ccccc1Nc1nc(-c2ccc(F)cc2)cs1,0.1
E-0011668,CN(C)c1cccc(Nc2nc(-c3ccc(F)cc3)cs2)c1,0.0
E-0011669,COc1cc(Nc2nccc(=O)[nH]2)cc(OC)c1,27.3
E-0011670,COc1cccc(Nc2nccc(=O)[nH]2)c1,41.1
E-0011671,Cc1cccc(Nc2nccc(=O)[nH]2)c1,30.1
E-0011672,Cc1c2ccnc(C(=O)NCCN(C)C)c2cc2c3cc(F)ccc3n(C)c12,1.9
E-0011673,COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2CCN1CCCCC1,0.2
E-0011674,Cc1c2ccncc2cc2c3ccccc3n(CC3=NCCN3)c12,19.9
E-0011675,Cc1c2ccncc2cc2c3ccccc3n(CCN3CCCCC3)c12,0.2
E-0011676,Cc1c2ccncc2cc2c3ccccc3n(CCN3CCOCC3)c12,1.5
E-0011677,Cn1c2ccc(OCCN)cc2c2nc3cnccc3nc21,32.8
E-0011678,Cn1c2ccc(OCCN3CCOCC3)cc2c2cc3cnccc3nc21,5.3
E-0011679,C[C@H](N)COc1ccc2c(c1)c1cc3ccncc3nc1n2C,19.0
E-0011694,Fc1cc(-c2ccnc(Nc3cccc(CN4CCOCC4)c3)n2)cc(N2CCOCC2)c1,0.6
E-0011695,O=C1Cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2N1,8.2
E-0011696,CN1C(=O)Cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc21,5.2
E-0011697,O=C1Cc2ccc(-c3cccc(OCCN4CCCCC4)c3)cc2N1,12.4
E-0011698,c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cc2nn1,9.1
E-0011699,c1cc(OCCN2CCCCC2)cc(-c2ccc3ccncc3c2)c1,3.1
E-0011700,CN1C(=O)Cc2ccc(-c3ccc(O)cc3)cc21,2.7
E-0011701,Fc1ccc(-c2csc(Nc3ccc4ccccc4c3)n2)cc1,0.0
E-0011702,Fc1ccc(-c2csc(Nc3ccncc3)n2)cc1,1.8
E-0011703,COc1ccc(Nc2nc(-c3ccc(F)cc3)cs2)cc1,0.2
E-0011704,CN(C)c1ccccc1Nc1nc(-c2ccc(F)cc2)cs1,0.0
E-0011705,CN(C)c1ccc(Nc2nc(-c3ccc(F)cc3)cs2)cc1,0.0
E-0011706,Nc1ccnc2cc(-c3ccccc3)nn12,4.5
E-0011753,COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2CCN1CCOCC1,0.9
E-0011754,CNCCOc1ccc2c(c1)c1nc3cnccc3nc1n2C,36.8
E-0011755,CNCCOc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,4.0
E-0011756,C[C@H](N)COc1ccc2c(c1)c1cc3cnccc3nc1n2C,18.7
E-0011757,Cn1c2ccc(OCCN3CCCCC3)cc2c2cc3cnccc3nc21,7.9
E-0011758,Cc1cc(-c2nccs2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,0.1
E-0011759,CN1C(=O)Cc2ccc(-c3cccc(OCCN4CCCCC4)c3)cc21,6.7
E-0011760,Cc1cc(C2(C#N)CC2)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,0.8
E-0011761,Cc1cc(C#N)cc2c3cc(OCCN4CCCCC4)ccc3n(C)c12,1.3
E-0011762,O=c1ccnc(Nc2cc(Cl)cc(Cl)c2)[nH]1,0.2
E-0011763,O=c1ccnc(Nc2cccc(Cl)c2)[nH]1,13.4
E-0011764,CN1CCN=C1COc1ccc2c(c1)c1cc3ccncc3nc1n2C,14.1
E-0011765,Cn1c2ccc(OCCN3CCCCC3)cc2c2nc3cc4c(cc3nc21)OCO4,1.7
E-0011766,Cn1c2ccc(OCC(N)=O)cc2c2cc3cnccc3nc21,5.1
E-0011802,Cc1cc(C#N)cc2c3cc(Oc4ccnc(N)c4)ccc3n(C)c12,0.1
E-0011803,COCCNC(=O)c1ccc2c(c1)c1cc(C#N)cc(C)c1n2C,2.0
E-0011804,COc1cc(Nc2nc(-c3ccccc3)cc(=O)[nH]2)cc(OC)c1,0.2
E-0011805,Nc1cc(C2CC2)nc2cc(-c3ccccc3)nn12,1.2
E-0011806,COc1ccc(-c2cc(N)n3nc(-c4ccccc4)cc3n2)cc1,0.0
E-0011807,COc1cccc(-c2cc(N)n3nc(-c4ccccc4)cc3n2)c1,0.1
E-0011808,COC(=O)c1n[nH]cc1Nc1ccccc1,21.1
E-0011874,O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccc(C(F)(F)F)cc2)CC1,0.9
E-0011880,Fc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,1.2
E-0011897,O=C(c1n[nH]c2ccccc12)N1CCC(Oc2ccc(C(F)(F)F)cc2)CC1,0.2
E-0011928,c1cncc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,4.8
E-0011943,CC(=O)Nc1cccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)c1,4.4
E-0011944,Fc1cc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)cc(N2CCOCC2)c1,1.4
E-0011988,COc1ccc2[nH]c3c(=O)n(C[C@@H]4CCCN(C)C4)cnc3c2c1,47.5
E-0012055,COc1ccc2[nH]c3c(=O)n(CCCN(C)C4CCCCC4)cnc3c2c1,30.1
E-0012083,Cn1cc(C(=O)N2CCN(c3ccc(CN4CC(O)C4)cc3)CC2)c2cccnc21,42.5
E-0012110,COC1CN(Cc2ccc(N3CCN(C(=O)c4cc(-c5ccccc5)on4)CC3)cc2)C1,2.5
E-0012116,COC1CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ccccc45)CC3)cc2)C1,15.9
E-0012133,COC1CN(Cc2ccc(N3CCN(C(=O)c4c(C)n(C)c5ccccc45)CC3)cc2)C1,13.6
E-0012135,COc1cccc2c(C(=O)N3CCN(c4ccc(CN5CC(OC)C5)cc4)CC3)cn(C)c12,8.8
E-0012136,COc1ccc2c(c1)c(C(=O)N1CCN(c3ccc(CN4CC(OC)C4)cc3)CC1)cn2C,12.1
E-0012145,COc1ccc2[nH]c3c(=O)n(CCCN4CCCCC4)cnc3c2c1,44.7
E-0012146,CCOc1ccc2c(c1)c1ncn(CCCN(C)C3CCCCC3)c(=O)c1n2C,5.1
E-0012153,COCC1CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ncccc45)CC3)cc2)C1,52.5
E-0012159,CN1CCN(Cc2ccc(Nc3nccc(-c4cccc(F)c4)n3)cc2)CC1,5.8
E-0012160,Fc1cccc(-c2ccnc(Nc3ccc(CN4CCCCC4)cc3)n2)c1,4.2
E-0012183,Fc1cccc(-c2ccnc(Nc3cccc(CN4CCOCC4)c3)n2)c1,0.8
E-0012191,Cc1ccc2[nH]nc(C(=O)N3CCC(Nc4ccc(Cl)cc4)CC3)c2c1,0.3
E-0012198,Cn1cc(C(=O)N2CCN(c3ccc(CN4CC5(CCCO5)C4)cc3)CC2)c2cccnc21,73.0
E-0012236,COc1cccc2[nH]c3c(=O)n(CCCN4CCCCC4)ccc3c12,21.3
E-0012252,NC(=O)Cc1cccc(Nc2nccc(-c3cccnc3)n2)c1,12.8
E-0012262,COC1CN(Cc2ccc(N3C[C@H]4C[C@@H](C3)N4C(=O)c3cn(C)c4ccccc34)cc2)C1,9.0
E-0012273,COc1ccc2c(c1)[nH]c1c(=O)n(CCCN3CCCCC3)cnc12,38.3
E-0012334,O=C(c1cccc2[nH]cnc12)N1CCC(Oc2ccc(Cl)cc2)CC1,3.9
E-0012756,O=c1c2[nH]c3cc(Cl)ccc3c2ccn1CCCN1CCCCC1,2.7
E-0012766,N#Cc1cccc(-c2ccnc(Nc3cccc(CC(N)=O)c3)n2)c1,3.8
E-0012767,NC(=O)Cc1ccc(Nc2nccc(-c3cccc(N4CCOCC4)c3)n2)cc1,5.4
E-0012784,COc1ccc2c(c1)[nH]c1c(=O)n(CCCN3CCCCC3)ccc12,18.5
E-0012817,O=C(c1n[nH]c2ccccc12)N1C2CCC1CC(Oc1ccc(Cl)cc1)C2,0.0
E-0012888,Fc1cccc(-c2cccc(Nc3cccc(N4CCNCC4)c3)n2)c1,0.2
E-0012893,O=C(c1n[nH]c2cccnc12)N1CCC(Oc2ccc(Cl)cc2)CC1,2.5
E-0012904,Fc1cccc(-c2cccc(Nc3ccc(CN4CCOCC4)cn3)n2)c1,1.3
E-0012907,Cc1ccc2[nH]cc(C(=O)N3CCC(Nc4ccc(Cl)cc4)CC3)c2c1,0.4
E-0012936,COCC1CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ncc(Cl)cc45)CC3)cc2)C1,12.8
E-0013506,COCC1CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ncc(F)cc45)CC3)cc2)C1,30.5
E-0013511,NC(=O)Cc1cccc(Nc2cccc(-c3cccnc3)n2)n1,16.4
E-0013595,CCOc1ccc2c(c1)[nH]c1c(=O)n(CCCN3CCCCC3)ccc12,11.3
E-0013604,C[C@@H](COc1cnn(-c2ccc3ccncc3c2)c1)NCCCO,80.7
E-0013605,CN1CCCCC1c1ccc(Nc2cccc(-c3cccc(F)c3)n2)cc1,0.4
E-0013606,CN1CCC(Cc2ccc(Nc3cccc(-c4cccnc4)n3)cc2)CC1,3.9
E-0013607,Fc1cccc(-c2ccnc(Nc3ccc(OC4CCNCC4)cc3)n2)c1,3.1
E-0013608,O=C1CCc2ccc(-c3cccc(OCCN4CCCCC4)n3)cc2N1,4.4
E-0013609,c1cc(-c2ccnc(Nc3ccc(N4CCNCC4)cc3)n2)cc(N2CCOCC2)c1,6.4
E-0013610,c1cc(Nc2nccc(-c3cccc(N4CCOCC4)c3)n2)cc(C2CCNCC2)c1,2.1
E-0013611,c1cc(CN2CCOCC2)cc(Nc2nccc(-c3cccc(N4CCOCC4)c3)n2)c1,1.7
