Murcko Scaffold,count
O=C(Cn1nnc2ccccc2c1=O)NCc1ccccc1,19
O=C(NCc1ccccc1)C1CCN(c2ncnc3[nH]ccc23)CC1,18
c1ccc(NC2=NCCN2)cc1,18
c1ccc(-c2cccs2)cc1,18
O=C1C2=CC3CC4COC(C3=O)C24Oc2ccccc21,18
O=C(c1c[nH]c2ccccc12)N1CCN(c2ccc(CN3CCC3)cc2)CC1,17
O=c1c2ccccc2oc2cc(N3CCCC3)ccc12,17
O=C(NC1CCN(c2ccncc2)CC1)c1cn2cc(-c3nncs3)ccc2n1,17
c1ccc(COc2ccc(-n3cccn3)cc2)cc1,17
c1ccc(COc2ccccc2)cc1,17
c1ccc(-c2cnc3sc(N4CCCCC4)nn23)cc1,17
c1ccc2c3c([nH]c2c1)CCCC3,17
O=C(NCc1ccccc1)c1cc(-c2ccccc2)nc2ccccc12,17
c1ccc(C2CCC3(CC2)OOC2(O3)C3CC4CC(C3)CC2C4)cc1,17
c1ccc(CN2CC(C3CC3)Nc3ccccc32)cc1,17
N=C(NC1CCCCC1)c1cccnc1Oc1ccccc1,16
c1ccc(-c2ccc(-c3cnccn3)cc2)cc1,16
O=C1C=C(Nc2ccccc2)C(=O)C2=C1N1CC3NC3C1C2,16
O=C(CCc1ccccc1)N1CCN(c2ccccc2)CC1,16
O=S(=O)(Nc1ccccc1)c1ccccc1,16
O=S(=O)(c1ccccc1)N1CCCC1c1ccccc1,16
c1ccc(CSc2ncc3scnc3n2)cc1,16
c1cnc2ccc(-n3ccc(OCC4CNC4)n3)cc2c1,16
c1ccc(-c2coc3ccc(-c4ccco4)cc23)cc1,16
O=c1[nH]c2ccc(Nc3ccnc(N4CCCCC4)n3)cc2c2c1OCCC(C1CC1)N2,16
c1cc2ccc(-c3ccc(OCCN4CCC4)cc3)cc2cn1,16
c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)cn2n1,16
O=S(=O)(c1cccnc1)n1cccc1-c1cccnc1,16
O=c1cc(NCc2ccccc2N2CCNCC2)cn[nH]1,16
O=C1C(=O)c2ccccc2-c2ccccc21,16
c1ccc(-c2ccc(OC3CCCCO3)cc2)cc1,16
c1cnc2ccn(Cc3ccncn3)c2c1,16
O=C(NC(c1ccccc1)C12CCC(CC1)CN2)c1ccccc1,16
c1cc(-c2nc(N3CCOCC3)c3sc(CN4CCCCC4)cc3n2)c2cc[nH]c2c1,15
O=C(NCC(c1ccccc1)c1ccccc1)c1ccc(=O)[nH]c1,15
C1=NNC(c2ccccc2)C1,15
c1coc(CNc2ncnc3ccccc23)c1,15
c1cnn(-c2ccc3ccncc3c2)c1,15
O=C1CNC(=O)N1c1ccccc1,15
c1cnc(Nc2ccnc3cc(-c4cnc(N5CCCNCC5)nc4)ccc23)cn1,15
O=S(=O)(c1ccccc1)N(Cc1ccccc1)Cc1ccccc1,15
O=C(c1ccccc1)N1CCc2ncncc2C1,15
O=C1CC(C2CCOCC2)Oc2ccc(S(=O)(=O)Nc3ccccc3)cc21,15
c1ncc(-c2nc(N3CCOCC3)nc3c2CCN3C2CCNC2)cn1,15
c1ncc(-c2nc(N3CCOCC3)c3sc(CN4CCCCC4)cc3n2)cn1,15
O=c1[nH]ccc2nc(Nc3cnn(C4CCNCC4)c3)nc(NC3CC3)c12,15
c1ccc(C2CC2)cc1,15
c1ccc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)cc1,15
O=C(NCCCNC1CCNCC1)c1cc2cc(-c3nncs3)ccn2n1,15
c1ccc2c(CCCc3cccc4ccccc34)cccc2c1,15
O=C(C1CNCC1c1ccccc1)N1CCC(c2ccccc2)CC1,14
c1ccc(Nc2ccnc(Nc3ccccc3)n2)cc1,14
O=C(OCCC1CCNCC1)N1CCc2ccccc21,14
O=c1[nH]ccc2c1[nH]c1cc(N3CCNCC3)ccc12,14
O=C(c1n[nH]c2ccccc12)N1CCC(Oc2ccccc2)CC1,14
O=c1c(-c2ccccc2)coc2ccccc12,14
O=c1nc(N2CCOCC2)cc(NCc2cccc3ccccc23)[nH]1,14
c1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,14
c1ccc2c(c1)ncc1cccn12,14
O=C(NC1CC1)C1CCCCC1C(=O)N1CCN(c2nccs2)CC1,14
c1cc(-c2nc(N3CCOCC3)c3sc(CN4CCCCC4)cc3n2)c2cn[nH]c2c1,14
O=C(c1n[nH]c2ccccc12)N1CCN(Cc2ccccc2)CC1,14
O=C(NCC1CCCN1)c1ccccc1,14
c1ccc(-n2nc(CNC3CCCC3)cc2-c2cccnc2)nc1,14
c1ccc(Nc2nccc(-c3cccnc3)n2)cc1,14
O=C(NC1C2CN(c3ccncc3)CC21)c1cc2cc(-c3nncs3)ccc2[nH]1,14
O=S(=O)(Nc1ccnn1-c1ccccc1)c1ccccc1,14
c1ccc(C2NCCc3c2ccc2[nH]ncc32)cc1,14
O=C(Nc1ccccn1)c1ccccc1,14
c1cc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)cnn1,14
O=c1cc(N2CCOCC2)nc2c(CNc3ccccc3)cccn12,13
O=S(=O)(c1ccccc1)N1CCc2[nH]c3ccccc3c2C1,13
O=c1cc(N2CCNCC2)nc(COc2ccccc2)[nH]1,13
O=C(NCC12CC3CC(CC(C3)C1)C2)c1ccccc1,13
O=C(NCC1CCCCC1)c1cccc2nc(N3CCCC3)ccc12,13
O=c1[nH]ccc2c1[nH]c1cc(OCCN3CCC3)ccc12,13
c1ccc(-c2cn3ccccc3n2)cc1,13
O=C(NC1C2CC3CC(C2)CC1C3)c1scnc1C1CCCO1,13
O=c1c(Cc2ccccc2)c[nH]c2ccccc12,13
O=C(c1cc2ccccc2[nH]1)N1CCNCC1,13
O=c1ccc2ccccc2o1,13
O=C1NCCCn2nc3c(c21)CN(C(=O)Nc1ccccc1)CC3,13
O=C1COc2ccc(CNC3CCN(CCN4C(=O)COc5ccccc54)CC3)nc2N1,13
c1cc2ccc(-c3ccc(OCCN4CCCCC4)cc3)nc2cn1,13
O=C(NCCCN1CCC(Oc2ccccc2)CC1)c1c[nH]c(=O)c2ccccc12,13
c1ccc(Oc2ccc(Nc3ncnc4cc[nH]c34)cc2)cc1,13
O=C(c1n[nH]c2ccccc12)N1CCC(Oc2cccnc2)CC1,13
c1ccc(-c2cnn3c(NCc4ccccn4)ccnc23)cc1,13
O=C(c1n[nH]cc1-c1ccccc1)N1CCC(Oc2ccccc2)CC1,13
O=C(NS(=O)(=O)Cc1ccccc1)C1CCN(c2ccccn2)CC1,13
O=C(Nc1ccccc1)Nc1ccc(CC(=O)N2CCCC2COc2ccccc2)cc1,13
O=C(NCc1ccccc1)c1nc(-c2ccccc2)[nH]c1C1CC1,13
O=C(CNc1ccc2c(c1)OCCO2)Nc1ccccc1,13
c1cc2ccc(-c3ccc(OCCN4CCNCC4)cc3)cc2cn1,13
O=c1ccn(C2CCCN(S(=O)(=O)c3cccc(Oc4ccccc4)c3)C2)c(=O)[nH]1,13
O=C(Nc1ccccc1)c1ccccc1,13
c1ccc(-c2cnccn2)cc1,13
O=C(NC1CCN(c2ccncc2)CC1)c1cc2cc(-c3nccs3)cnc2[nH]1,13
O=C(c1ccccc1)N1CCC(CNCCCc2c[nH]c3ccccc23)CC1,12
c1ccc2[nH]ccc2c1,12
c1cncc(-c2c[nH]c3ccc(OCCCN4CCCC4)cc23)c1,12
O=C(CCn1ccc2ccccc21)Nc1ccccc1,12
O=c1[nH]ccc2c1[nH]c1cc(OCCN3CCCC3)ccc12,12
c1ccc(C2Cc3nccn3C2)cc1,12
O=C(COc1ccccc1)N1CCN(C(=O)c2ccccc2)CC1,12
O=C(NC1CC1)C1CCCCC1C(=O)N1CCN(c2ccccc2)CC1,12
c1cc(COc2cnc(N3CCNCC3)nc2)ccn1,12
O=C(Nc1cc(-c2cccc(Nc3ccccc3)c2)ccn1)C1CCOCC1,12
c1ccc(N2CCc3ccccc3C2)cc1,12
O=C1c2ccc(-n3ccnc3)c(=O)n2CCN1Cc1c[nH]c2ccccc12,12
c1ccc(-c2cc3ncncc3s2)cc1,12
O=c1[nH]ccc2c1[nH]c1cc(OC3CCNCC3)ccc12,12
c1ccc2c3c([nH]c2c1)C(c1ccc(OCCN2CCC2)cc1)NCC3,12
O=C(NCC1CCCCO1)c1ccccc1,12
O=C(c1ccccc1)N1CCN(c2ccc(OCCCN3CCCC3)cc2)C(=O)C1,12
O=C(Nc1ccc(C2CCC(c3ccc(NC(=O)C4CCCN4)cc3)N2c2ccccc2)cc1)C1CCCN1,12
c1ccc(Cn2ccc3c(OC4CCN(Cc5ccccn5)CC4)ncnc32)cc1,12
O=S(=O)(c1c[nH]cn1)N1CC(Nc2ccccc2)C(c2ccccc2)C1,12
O=c1c2[nH]c3ccccc3c2ccn1CC1CCCNC1,12
O=C(NC1CCCCC1)c1cc(-c2ccccc2)on1,12
O=C(Nc1cccc(-c2nnc[nH]2)n1)c1ccccc1,12
O=S(=O)(c1cccnc1)n1cccc1-c1ccccc1,12
c1cc(C2NCCc3c2ccc2[nH]ncc32)ncc1NC1CNC1,12
c1ccc2c(-c3c[nH]c4ccccc34)ccnc2c1,12
c1ccc(Cc2ncc3c(n2)CCNCC3)cc1,12
O=C1C=CNC1=Cc1ccn(-c2ccccc2)c1,12
c1ccc(N(CC2CC2)C2=NCCN2)cc1,12
O=C(NC1CC1)c1cccc(-n2ccnc(NCc3ccccc3)c2=O)c1,12
c1cn2cc(CNc3nnc(-c4ccc(-c5cn[nH]c5)cc4)o3)ccc2n1,12
O=C1c2ccccc2C2(CCN(c3cncc4ccccc34)C2=O)CN1CCN1CCOCC1,12
O=S(=O)(NCC(c1ccccc1)N1CCCCCC1)c1ccccc1,12
O=C(NC1Cc2ccccc2NC1=O)c1cc2ccsc2[nH]1,11
O=C(Nc1ccccc1)N1CCc2sccc2C1c1ccccc1,11
c1ccc(-c2ccc(OCCN3CCOCC3)cc2)cc1,11
O=c1c2[nH]c3ccncc3c2ccn1CCCN1CCCCC1,11
c1cc2c(OCC3CCNC3)nc(Nc3cn[nH]c3)nc2[nH]1,11
O=c1[nH]c2ccc(Nc3ccnc(N4CCCCC4)n3)cc2[nH]1,11
c1ccc(CNC2CCN(CCc3ccnc4cccnc34)CC2)cc1,11
c1cc(-c2ccc(OCCN3CCCCC3)cc2)n2nccc2n1,11
N=C1SC(=Cc2ccccc2)C(=O)N1c1ccccc1,11
c1ccc(-c2cncc(-c3ccccc3)c2)cc1,11
c1ccc2c(c1)[nH]c1cnccc12,11
O=C(NC12CC1CN(c1ccnc(Nc3cn[nH]c3)n1)C2)C1CC1,11
O=S(=O)(CCCOCCc1ccccc1)CCNCCc1cccc2ncsc12,11
c1ccc(-c2cccc(COc3ccc4c(c3)OCC4)c2)cc1,11
O=C(c1cc2ccncc2[nH]1)N1CCc2ccccc2C1,11
O=C(Nc1cnc2[nH]cc(C3CCNCC3)c2c1)c1ccccc1,11
O=c1ncc2ccccc2[nH]1,11
c1ccc(-c2cc3c(CN4CCC5(COC5)C4)cccc3o2)cc1,11
c1ccc2ncncc2c1,11
O=C(NN1CCCCC1)c1cc(-c2ccccc2)n(-c2ccccc2)n1,11
C1=C(c2ccccc2)C(c2ccc(OCCN3CCC3)cc2)Oc2ccccc21,11
O=C(Cc1ccccc1)N1CCN(Cc2ccccc2)CC1,11
c1ccc2scnc2c1,11
O=C1Nc2cccc(n2)-c2nncn2CCCCOc2ccccc21,11
O=C(Nc1ccccc1)C(=O)N1CCC(c2ccnc3ccccc23)CC1,11
O=c1[nH]n(-c2ccc3c(n2)CCC3)c2nc(Nc3ccc(N4CCNCC4)cc3)ncc12,11
c1ccc2c(c1)-c1cncn1C2CCC1CCCCC1,11
O=c1[nH]ccc2c1[nH]c1cc(NC3CCNCC3)ccc12,11
O=C(Nc1ccccc1)C1COC(=O)N1c1ccccn1,11
O=C(CC1SCCNC1=O)Nc1ccccc1,11
c1ccc(-c2cccc(-c3cnnc4[nH]cnc34)c2)cc1,11
c1cnc2c(N3CCN(CCc4ccc(OCCCN5CCCCCC5)cc4)CC3)cccc2c1,11
O=C1c2ccc(-c3cncs3)cc2CN1CC1CC1,11
O=C1c2ccccc2CCN1Cc1ccc[nH]c1=O,11
c1ccc(-c2cc3c(-c4ccccc4)ccnc3[nH]2)cc1,11
c1ncc(-c2nc(N3CCOCC3)c3sc(CN4CCCC4)cc3n2)cn1,11
c1ccc(Oc2ccc3[nH]ccc3c2)cc1,11
O=C(c1nnc(-c2ccccc2)o1)N1CC(Oc2ccc(CN3CC4(COC4)C3)cc2)C1,11
c1ccc2c(c1)[nH]c1nc3ccncc3nc12,10
c1ccc(CCN2CCCCC2)cc1,10
N=C(NC1CCCCC1)c1ccccc1,10
O=C(Cc1ccccc1)NC1CCN(CCC(c2ccccc2)N2CCNCC2)CC1,10
O=C(Nc1ccc(-c2cccnc2)cc1)c1ccccc1,10
O=C(NCc1ccc[nH]c1=O)c1ccccc1,10
c1cc(N2CCOCC2)cc(CCc2ncco2)n1,10
O=C(CN1CCC(NC(=O)c2cccs2)C1)Nc1ccc(-n2ccccc2=O)cc1,10
c1ccc2c(c1)CCC(Nc1ccnc3ncnn13)C2,10
O=c1c2[nH]c3ccccc3c2ncn1CC1CCCNC1,10
c1ccc(-c2ccc3ccccc3n2)cc1,10
O=C(Nc1ccccc1)c1ccccc1NS(=O)(=O)C1CC1,10
O=S(=O)(c1cccc(COc2cccc3cccnc23)c1)N1CCCC1,10
O=C(Nc1cc2ccc(OC3CCCCO3)cc2oc1=O)c1ccccc1,10
O=C(C1CCCCC1)N1CCN(c2ccccc2)CC1,10
O=C(NC1CCN(c2ccncc2)C1)c1cc2cc(-c3nncs3)cnc2[nH]1,10
c1ccc(N(c2cccnc2)C2CCNCC2)cc1,10
c1ccc(Cc2ccccn2)cc1,10
O=C(NC1CC1)c1ccc2c(c1)C(c1ccccc1)CO2,10
O=C(NC1C2CN(c3ccncc3)CC21)c1cc2cc(-c3nncs3)cnn2c1,10
c1ccc2c(c1)CC1CCCCC21,10
c1cc2ncc(-c3ccc(OCCN4CCC4)cc3)cn2n1,10
c1ccc(C2CCc3ccn4ccnc4c3C2)cc1,10
c1ccc(OC2C3CCC2CN(Cc2n[nH]c4cccnc24)C3)cc1,10
O=c1c2ccccc2c(-c2ccccc2)cn1Cc1cc[nH]n1,10
O=c1[nH]ccc2c1[nH]c1c(CCN3CCCCC3)cccc12,10
c1cc2ncc(-c3ccc(OCCN4CC5CCC(C4)O5)cc3)cn2n1,10
O=C(Nc1nccs1)c1cccc(Oc2ccccc2)c1,10
O=C(NC1C2CC3CC(C2)CC1C3)c1cnn(-c2ccccc2)c1,10
O=C(c1n[nH]c2cccnc12)N1CCC(Oc2cccnc2)CC1,10
O=C(c1ccccc1)N1CCCC(c2cc3ncccc3[nH]2)C1,10
O=S(=O)(c1ccccn1)n1cccc1-c1cccnc1,10
O=C(COc1ccc2c(c1)BOC2)OC1CCCCC23CCCC1C2C(=O)CC3,10
c1ccc(CN2CCNc3ccccc32)cc1,10
O=c1nc(NCc2ccccc2)cc(-c2ccccc2)[nH]1,9
O=C(Nc1ccccc1)c1ccc(OCCCN2CCCC2)cc1OCc1ccccc1,9
O=C(c1nnc(-c2ccccc2)o1)N1CCC(Oc2ccc(CN3CCCC3)cc2)CC1,9
c1ccc(Nc2nc(-c3ccccc3)cs2)cc1,9
c1ccc(-n2cc(CN3CCC4(CC3)OCc3ccccc34)cn2)nc1,9
O=c1[nH]cc(-c2ccc(OCCN3CCCCC3)cc2)c2cc[nH]c12,9
c1ccc2sccc2c1,9
O=c1[nH]c(-c2cncc(S(=O)(=O)N3CCNCC3)c2)nc2c[nH]nc12,9
O=c1[nH]c2ccc(OCc3ccccn3)cc2o1,9
c1ccc(N2CCC(N(c3ccccc3)c3cccnc3)CC2)cc1,9
O=C1NC(=O)C(c2ccc(Oc3ccccc3)cc2)(N2CCNCC2)C(=O)N1,9
O=S(=O)(Nc1ccn[nH]1)c1ccccc1,9
O=S(=O)(Nc1ccccn1)c1ccc(OC2CCNCC2c2ccccc2)cc1,9
c1ccc2c(c1)CCC1CCCCC21,9
O=C(NCCCC1CCCC(OCc2ccccc2)O1)c1ccccc1,9
c1cnc2c(-c3ccc(OCCN4CCCCC4)cc3)cnn2c1,9
c1cnc2[nH]cc(-c3ccc(OCCN4CCCCC4)cc3)c2c1,9
c1ccc(Oc2ccc3ncnc(Nc4cc[nH]n4)c3c2)cc1,9
c1ccc(-c2ccn3nc(-c4ccccc4)cc3n2)cc1,9
O=C1C=C2CCC3C4CCCC4CCC3C2CC1,9
O=C(NC1CC1)c1ccnc(Cc2ccccc2)c1,9
O=C(COc1ccccc1)Nc1ccccc1,9
O=C(Cc1ccccc1)N1CCNCC1CN1CCCC1,9
O=C(NC1C2CN(c3ccncc3)CC21)c1cn2cc(-c3nncs3)ccc2n1,9
O=c1cccc(-c2ccccc2)[nH]1,9
O=C1CN(CCOc2ccc(C3CCN(c4ccc5nncn5n4)CC3)cc2)CCN1,9
O=c1cc(N2CCOCC2)nc2c(COc3ccccc3)cccn12,9
C1=CCCCC1,9
O=C(NC1C2CC3CC(C2)CC1C3)c1cncs1,9
c1cnc2c(CCN3CCC(NCc4cc5c(cn4)OCCO5)CC3)ccnc2c1,9
c1ncc2cc(-c3ccc(OCCN4CCCCC4)cc3)ccc2n1,9
c1cnnc(Nn2cccc2)c1,9
c1cc(-c2cnc[nH]2)nc(Nc2ccc(N3CCNCC3)cc2)n1,9
c1ccc(CNc2ccnc3cc[nH]c23)cc1,9
c1ccc(C2CNCCC2NCc2cccc(-n3cnnn3)c2)cc1,9
c1ccc(-c2cc3c(NC4CCCNC4)nccc3s2)cc1,9
c1ccc(COc2ccccc2-c2ccc3c(c2)CCNCC3)nc1,9
c1ccc2c(c1)-c1ncnn1Cc1cncn1-2,9
c1ccc(-c2cnc3ccnn3c2)cc1,9
O=c1oc2ccccc2cc1-c1ccccc1,9
O=C(c1ccccc1)C1CN=C2C=CC=CN2C1,9
c1ccc2c(c1)CCC2c1ncc[nH]1,9
C1=C(CN2CCC(Nc3ccc4ccccc4n3)CC2)CC2CCCC1N2,8
O=C(c1cc(-c2ccccc2)[nH]n1)N1CCC(Oc2cccnc2)CC1,8
O=S(=O)(c1ccccc1)N1CCCc2ccccc21,8
c1ccc(C2CCC3c4ccccc4CCN3C2)cc1,8
c1cc(-c2ccn3cnnc3c2)ccc1OCCN1CCCCC1,8
c1ccc(-c2ccc3cnccc3c2)cc1,8
O=C(c1ccno1)N1CCCC(c2cc3ncccc3[nH]2)C1,8
O=C(NCc1nc2ccsc2c(=O)n1Cc1ccccc1)c1ccccc1,8
C1CCC2(CC1)OOC1(O2)C2CC3CC(C2)CC1C3,8
O=c1cc2c(nn1Cc1ccccc1)CCNCC2,8
c1cc2ccc(-c3ccc(OCCN4CCCCC4)cn3)cc2cn1,8
c1ncc(-c2cc(NC3CCNC3)nc(N3CCOCC3)n2)cn1,8
c1cc2ccc(-c3ccc(OC4CCNC4)cc3)cc2cn1,8
c1ccc(COc2ccc3c(cnn3-c3ccccc3)c2)cc1,8
O=c1[nH]c(=O)n(CC2CC2)c2nn(Cc3ccnc4ccccc34)c(-c3cnc[nH]3)c12,8
c1ccc(-c2nc3ccccc3s2)cc1,8
c1ccc(C2NCCc3c2[nH]c2ccccc32)cc1,8
O=C(c1ccccc1)N1CCN(c2ccc(OC3CCN(C4CCC4)CC3)cc2)C(=O)C1,8
O=c1cc(-c2ccccc2)[nH]c(=S)[nH]1,8
O=C(c1ccccc1)N1CCn2c(nnc2-c2ncns2)C1,8
O=c1cc(N2CCNCC2)nc(CCc2ccccc2)[nH]1,8
c1ccc(Cc2cc(-c3cncs3)n[nH]2)cc1,8
O=C(Cn1nnc2ccccc2c1=O)NCCc1ccccc1,8
c1ccc(Nc2nccc(-c3c[nH]c4ccccc34)n2)cc1,8
c1ccc(Nc2cc(Nc3ccccc3)ncn2)cc1,8
c1ccc(C2CCc3nc[nH]c3C2)cc1,8
c1ccc2c(c1)OCCn1ccnc1-2,8
C1=NC=NCN1c1ccccc1,8
c1cn2c(-c3ccc(OCCN4CCCCC4)cc3)cnc2cn1,8
c1ccc2c(-c3ccnc(NC4CCCNC4)n3)c[nH]c2c1,8
c1ccc2c(c1)CC(Nc1ccnc3ncnn13)C2,8
c1cc2cc3[nH]c4ccc(OCC5=NCCN5)cc4c3cc2cn1,8
c1cc(Nc2cc3ccnc(N4CCC4)c3cn2)nc(N2CCCCC2)n1,8
O=c1cc[nH]cc1-c1ccc(-c2ccccc2)nc1,8
c1ccc(C(Cc2cccnc2)c2cnc3ccccc3c2)cc1,8
O=C(c1ccco1)N(Cc1ccccc1)c1ccccc1,8
O=C(c1cccc(Cc2n[nH]c(=O)c3ccccc23)c1)N1CCn2cnnc2C1,8
c1cscn1,8
O=C1COc2ccc(-c3cn[nH]c3-c3ccccc3)cc2N1,8
O=C(c1n[nH]cc1-c1ccc2ncsc2c1)N1CCC(OC2CCNCC2)CC1,8
O=C(NCc1ccccc1)Nc1ccc2ncccc2c1,8
O=C(NC1C2CC3CC(C2)CC1C3)c1scnc1C1CC1,8
O=S(=O)(NCC1CCO1)c1ccccc1,8
O=S(=O)(c1ccccc1)n1cccc1-c1ccccc1,8
O=C(NC1CCNCC1C(=O)NC1(c2ncccn2)CC1)c1cc(-c2ccccc2)on1,8
O=C(NC1C2COCC21)c1ccc2c(c1)C(c1ccccc1)CO2,8
c1cc2c(-c3cnn(C4CCC4)c3)nc(-c3cn[nH]c3)cn2n1,8
O=C(c1ccccc1)c1nc(-c2ccccc2)c2n1CCCC2,8
O=S(=O)(c1ccccc1)N1CCN(Cc2ccccc2)CC1,8
O=C(NC1C2CC3CC(C2)CC1C3)c1cncnc1C1CCCC1,8
O=C(c1cc(-c2ccccc2)n[nH]1)N1CCC(Oc2ccccc2)CC1,8
c1ccc(-c2ccncn2)cc1,8
O=C(c1ccccc1)N1CCN(c2ccc(OCCCN3CCCCC3)cc2)C(=O)C1,8
c1ccc(Nc2ccnc(Nc3cc(N4CCOCC4)cc(N4CCOCC4)c3)n2)cc1,8
O=C(NC1CCN(c2ccncc2)CC1)c1cc2ccc(-c3nncs3)cn2n1,8
O=C(NC1C2CN(c3ccncc3)CC21)c1cc2cc(-c3ccccn3)cnc2[nH]1,8
