Molecule Name,SMILES,LogD,KSOL,HLM CLint,MLM CLint,Caco-2 Permeability Papp A>B,Caco-2 Permeability Efflux,MPPB,MBPB,MGMB
E-0010559,CNC(=O)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,,12.5,48.9,737.5,,,1.4,,
E-0010561,COc1ccc2c(c1)c1cc3c(C(=O)NCCN(C)C)nccc3c(C)c1n2C,,157.0,,3325.1,,,3.6,,
E-0010562,Cc1c2ccncc2cc2c3cc(OCCN4CCCCC4)ccc3n(C)c12,,140.0,12.6,297.7,,,3.4,,
E-0010567,Cc1c2ccncc2cc2c3cc(OCCN)ccc3n(C)c12,,156.0,13.6,144.2,,,2.9,,
E-0010568,COc1ccc2c(c1)c1cc3c(C(=O)NCCCN(C)C)nccc3c(C)c1n2C,,,,1426.9,,,,,
E-0010569,Cc1c2ccncc2cc2c3cc(OCCN4CCN(C)CC4)ccc3n(C)c12,,237.0,17.6,266.8,,,2.4,,
E-0010578,CCN(CC)CCOc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,,245.0,12.7,237.5,,,3.1,,
E-0010584,COc1ccc2c(c1)c1cc3ccncc3c(C)c1n2C,,,90.7,1456.8,,,0.8,,
E-0010596,Cc1c2ccncc2cc2c3ccc(OCC4=NCCN4)cc3n(C)c12,,,,611.9,,,,,
E-0010600,COc1ccc2oc3c(C)c4ccncc4cc3c2c1,,,112.1,273.4,,,0.6,,
E-0010604,Cc1c2ccncc2cc2c3cc(OC[C@H]4CCCN4)ccc3n(C)c12,,174.0,,211.2,,,3.7,,
E-0010607,Cc1c2ccncc2cc2c3c(OCC4=NCCN4)cccc3n(C)c12,,,18.7,578.9,,,,,
E-0010611,Cc1c2ccncc2cc2c3cc(OC[C@@H]4CCCN4)ccc3n(C)c12,,227.0,,228.2,,,1.8,,
E-0010625,Cc1c2ccncc2cc2c3cc(OCC(=O)N(C)C)ccc3n(C)c12,,7.73,65.7,867.9,,,1.7,,
E-0010627,Cc1nc(C(=O)NCCCN(C)C)cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,,150.0,,498.1,,,47.1,,
E-0010628,Cc1nc(C(=O)NCCCN(C)C)cc2c3cc(OCC4=NCCN4)ccc3n(C)c12,,,,56.6,,,,,
E-0010647,CN(C)CCCNc1nc(Nc2ccncc2)nc2ccccc12,1.5,,,,4.16,1.92,,,
E-0010656,CCn1c2ccc(OCC3=NCCN3)cc2c2cc3cnccc3c(C)c21,,202.0,,485.1,,,1.4,,
E-0010660,Cc1c2ccncc2cc2c3cc(OCC4=NCCN4C)ccc3n(C)c12,,74.7,,244.4,,,5.6,,
E-0010662,Cn1c2ccc(OCCN3CCOCC3)cc2c2cc3cnccc3cc21,,208.0,29.0,1364.9,,,1.8,,
E-0010676,Cc1c2ccncc2cc2c1sc1ccc(OCCN3CCOCC3)cc12,,,45.5,2336.6,,,,,
E-0010686,Cc1c2ccncc2cc2c3cc(OCC4=NCCN4)ccc3n(C(C)C)c12,,,,405.1,,,,,
E-0010690,Cc1c2ccncc2cc2c3cc(C(N)=O)ccc3n(C)c12,,,73.4,1405.5,,,1.7,,
E-0010691,CNC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,,,41.1,221.8,,,1.7,,
E-0010712,Cc1c2ccncc2cc2c3cc(C(=O)NCCO)ccc3n(C)c12,,,16.4,191.4,,,,,
E-0010713,COCCNC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,,144.0,40.0,1900.2,,,5.9,,
E-0010724,Cc1c2ccncc2cc2c3cc(OC[C@H](C)N)ccc3n(C)c12,,,,71.1,,,,,
E-0010727,Cc1nc(C(N)=O)cc2c3cc(OCCN4CCOCC4)ccc3n(C)c12,,14.5,11.7,1602.1,,,8.5,,
E-0010730,Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3ccc(OCCCN4CCN(C)CC4)cc3n(C)c12,,204.0,15.6,1050.6,,,8.4,,
E-0010733,Cn1c2ccc(OCCN3CCOCC3)cc2c2cc3ncccc3cc21,,107.0,33.0,3579.0,,,4.3,,
E-0010734,CN(C)CCOc1ccc2c(c1)c1cc3ncccc3cc1n2C,,223.0,21.5,1959.7,,,8.1,,
E-0010736,Cc1c2ccncc2cc2c3cc(OCCN4CCC(O)CC4)ccc3n(C)c12,,216.0,18.4,177.3,,,2.8,,
E-0010737,Cc1c2ccncc2cc2c3cc(OCCN4CCC(F)CC4)ccc3n(C)c12,,135.0,26.6,545.1,,,1.3,,
E-0010738,Cc1c2ccncc2cc2c3cc(OC[C@H](C)N(C)C)ccc3n(C)c12,,207.0,13.2,260.7,,,1.8,,
E-0010739,Cc1c2c(cc3c4cc(OCC5=NCCN5)ccc4n(C)c13)C(=O)NCC2,,171.0,20.6,175.5,,,12.6,,
E-0010751,Cn1c2ccc(OCC3=NCCN3)cc2c2cc3cnccc3cc21,,193.0,,687.7,,,7.0,,
E-0010754,CN(C)CCOc1ccc2c(c1)c1cc3cnccc3cc1n2C,,170.0,19.5,369.4,,,8.2,,
E-0010765,Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3c(OCCCN4CCN(C)CC4)cccc3n(C)c12,,146.0,22.7,122.1,,,2.3,,
E-0010766,Cc1nc(C(N)=O)cc2c3cc(OCC4=NCCN4)ccc3n(C)c12,,183.0,,244.7,,,29.0,,
E-0010767,Cn1c2ccc(OCCN3CCCCC3)cc2c2nc3cnccc3nc21,,168.0,11.2,448.1,,,20.9,,
E-0010768,Cc1c2ccncc2cc2c3cc(C#N)ccc3n(C)c12,,,136.7,899.7,,,,,
E-0010771,CN(C)CCNC(=O)c1ccc2c(c1)c1cc3ccncc3nc1n2C,,,,739.2,,,,,
E-0010772,Cn1c2ccc(OCC3=NCCN3)cc2c2cc3ccncc3nc21,,,27.9,1145.2,,,,,
E-0010774,Cc1c2ccncc2cc2c3cc(N4CCN(C)CC4)ccc3n(C)c12,,,,299.1,,,,,
E-0010776,Cn1c2ccc(OCCN3CCOCC3)cc2c2nc3cnccc3nc21,,130.0,20.0,1125.8,,,22.5,,
E-0010784,Cn1c2ccc(OCC(=N)N)cc2c2cc3cnccc3cc21,,34.3,,683.0,,,6.0,,
E-0010786,Cn1c2ccc(OCC3=NCCN3)cc2c2nc3cnccc3nc21,,163.0,,548.8,,,28.7,,
E-0010812,Cc1c2c(cc3c4cc(OCC5=NCCN5)ccc4n(C)c13)C(=O)N(C)CC2,,152.0,12.9,439.1,,,8.4,,
E-0010816,CN(C)CCCNc1nccc2c1C(=O)c1c([nH]c3ccc(OCC4=NCCN4)cc13)C2=O,,,,34.0,,,,,
E-0010922,Cc1c2ccncc2cc2c3cc(OCC4=NCCN4)cc(F)c3n(C)c12,,,12.6,1129.6,,,,,
E-0010975,CCn1c2ccc(OCC3=NCCN3)cc2c2cc3cnccc3cc21,,147.0,24.7,273.9,,,13.5,,
E-0010989,Cc1c2ccncc2cc2c3cc(OCCN(C)C)cc(F)c3n(C)c12,,,,799.6,,,,,
E-0010994,Cn1c2ccc(OCC(=N)N)cc2c2cc3ncccc3cc21,,78.3,15.7,1853.6,,,6.2,,
E-0011026,COc1ccc(Nc2nccc(NCCc3ccncc3)n2)cc1,2.8,67.4,104.8,1164.8,26.39,0.78,8.0,,
E-0011078,CN(C)CCCn1ccc2nc3ccc(OCC4=NCCN4)cc3c-2c1,,207.0,,,,,72.8,,
E-0011079,c1cc2cc3[nH]c4ccc(OCC5=NCCN5)cc4c3cc2cn1,,160.0,22.8,193.3,,,69.4,,
E-0011083,CNc1ccnc(N(CCc2cccnc2)c2ccnc(Nc3ccc(Cl)cc3)n2)n1,-0.1,95.2,25.4,339.3,,,9.5,,
E-0011122,NC(=O)CN1C(=O)Cc2ccc(-c3ccccc3)cc21,,40.4,13.5,136.3,,,5.4,,
E-0011133,CNc1ccnc(N(CCc2cccnc2)c2ccnc(Nc3ccc(OC)cc3)n2)n1,-0.6,90.8,20.6,319.3,,,29.4,,
E-0011137,CNc1ccnc(N(CCc2ccncc2)c2ccnc(Nc3ccc(OC)cc3)n2)n1,-0.6,97.2,19.9,361.8,,,30.7,,
E-0011166,Cc1c2cnccc2cc2c3cc(OCCN(C)C)ccc3n(C)c12,,158.0,33.4,664.2,,,2.9,,
E-0011167,COC(C)Cn1c(=O)n(C)c2cnc3ccc(-c4cncc(C(C)(C)O)c4)cc3c21,,,,,,,21.8,,
E-0011189,C[C@H](NC(=O)c1ccc2c(c1)c1cc(C(=O)N[C@@H](C)C(N)=O)ccc1n2C)C(N)=O,,153.0,,,,,52.4,,
E-0011190,Cc1c2ccncc2cc2c3cc(OCC[C@@H](C)N)ccc3n(C)c12,,182.0,14.0,193.9,,,1.5,,
E-0011191,COc1ccc2c(c1)c1cc(NC(=O)NCCN(C)C)nc(C)c1n2C,,146.0,22.0,304.7,,,14.9,,
E-0011195,NC(=O)CCN1C(=O)Cc2c1ccc1ccccc21,,189.0,9.6,379.0,,,19.4,,
E-0011210,Cc1c2ccncc2cc2c3cc(OCC[C@H](C)N)ccc3n(C)c12,,165.0,17.1,236.2,,,1.5,,
E-0011211,Cc1c2ccncc2cc2c3cc(OC[C@H](C)Nc4ccccn4)ccc3n(C)c12,,,148.1,1513.3,,,,,
E-0011212,Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3cc(OCC(N)=O)ccc3n(C)c12,,196.0,,1577.6,,,12.6,,
E-0011213,Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3cc(OC[C@H](C)N)ccc3n(C)c12,,218.0,,361.5,,,3.5,,
E-0011214,CC(=O)N[C@@H](C)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,,74.3,30.8,653.2,,,13.4,,
E-0011215,Cc1c2ccncc2cc2c3cc(OC[C@H](C)NC(N)=O)ccc3n(C)c12,,,20.4,491.5,,,0.8,,
E-0011216,NC(=O)Cn1ccc2ccc(-c3ccccc3)cc21,,42.2,44.2,1073.4,,,2.5,,
E-0011217,Cc1nc(NC(=O)NCCN(C)C)cc2c3cc(OCC4=NCCN4)ccc3n(C)c12,,214.0,,387.8,,,40.3,,
E-0011219,Cc1c2ccncc2cc2c3cc(OCCC(C)(C)N)ccc3n(C)c12,,231.0,,130.6,,,2.3,,
E-0011225,Cc1nc(NC(=O)NCCN(C)C)cc2c3cc(OCC(N)=O)ccc3n(C)c12,,167.0,15.3,166.2,,,44.5,,
E-0011226,CCN[C@@H](C)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,,228.0,,279.6,,,2.5,,
E-0011227,CN[C@@H](C)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,,204.0,,265.2,,,3.6,,
E-0011232,CCCN[C@@H](C)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,,153.0,15.4,240.6,,,2.6,,
E-0011233,COCCN[C@@H](C)COc1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,,167.0,17.1,239.0,,,1.7,,
E-0011234,Cc1c2ccncc2cc2c3cc(OC[C@H](C)NCC(F)F)ccc3n(C)c12,,65.6,54.2,1418.1,,,2.3,,
E-0011235,Cc1nc(C(N)=O)cc2c3cc(OC[C@H](C)N)ccc3n(C)c12,,190.0,,383.3,,,23.0,,
E-0011236,Cc1c2ccncc2cc2c3cc(C(=O)NC[C@H](C)N)ccc3n(C)c12,,111.0,16.0,156.6,,,3.3,,
E-0011240,Cc1c2ccncc2cc2c3cc(C(=O)N[C@@H](C)CN)ccc3n(C)c12,,173.0,27.9,245.5,,,6.6,,
E-0011241,Cn1c2ccc(OCC3=NCCN3)cc2c2cc(C(N)=O)ccc21,,211.0,,914.5,,,34.1,,
E-0011242,Cc1c2ccncc2cc2c3cc(C(=O)N[C@H](C)CN)ccc3n(C)c12,,210.0,16.0,444.9,,,5.3,,
E-0011243,Cc1c2ccncc2cc2c3cc(OC[C@H](C)NC(C)C)ccc3n(C)c12,,206.0,,175.4,,,1.2,,
E-0011246,Cn1c2ccc(OCC(N)=O)cc2c2cc(-c3ccccc3)ccc21,,,77.6,435.7,,,,,
E-0011247,C[C@H](N)COc1ccc2c(c1)c1cc(C(N)=O)ccc1n2C,,212.0,,1377.7,,,24.2,,
E-0011248,Cn1c2ccc(OCC(N)=O)cc2c2cc(-c3ccncc3)ccc21,,,19.6,265.0,,,0.3,,
E-0011249,Cc1c2ccncc2cc2c3cc(C(=O)NC[C@@H](C)N)ccc3n(C)c12,,176.0,10.4,264.8,,,7.7,,
E-0011250,Cc1c2ccncc2cc2c3cc(C(=O)NC[C@@H](C)O)ccc3n(C)c12,,144.0,42.2,729.6,,,1.6,,
E-0011251,Cc1c2ccncc2cc2c3cc(C(=O)N[C@H](C)CN(C)C)ccc3n(C)c12,,232.0,28.2,1401.0,,,6.0,,
E-0011252,Cc1c2ccncc2cc2c3cc(C(=O)NC[C@H](C)O)ccc3n(C)c12,,83.9,39.2,721.4,,,2.6,,
E-0011253,C[C@H](N)COc1ccc2c(c1)c1nc3cnccc3nc1n2C,,228.0,16.8,346.6,,,24.0,,
E-0011255,COC[C@H](C)NC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,,125.0,92.3,1409.6,,,0.9,,
E-0011256,Cn1c2ccc(OCC(N)=O)cc2c2nc3cnccc3nc21,,0.19,23.2,1132.5,,,5.9,,
E-0011259,NCCCNc1nc(NC(=O)OCCCN)cc2c(-c3ccnc(N4CCNCC4)c3)cccc12,,174.0,,61.1,,,14.1,,
E-0011261,Cc1nc(CCC(=O)Nc2ccccn2)cc2c3cc(OC[C@H](C)N)ccc3n(C)c12,,215.0,22.3,1061.3,,,,,
E-0011262,Cc1c2ccncc2cc2c3cc(C(=O)N[C@H](C)CO)ccc3n(C)c12,,123.0,35.7,1377.9,,,,,
E-0011263,Cc1c2ccnc(C(=O)NCC(N)=O)c2cc2c3ccccc3n(C)c12,,,34.2,835.3,,,,,
E-0011264,Cc1c2ccncc2cc2c3cc(C(=O)N[C@@H](C)CO)ccc3n(C)c12,,91.1,41.7,1249.3,,,,,
E-0011265,Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3ccccc3n(C)c12,,132.0,11.3,2626.3,,,,,
E-0011266,Cc1nc(CCCNc2ccccn2)cc2c3cc(OC[C@H](C)N)ccc3n(C)c12,,186.0,44.2,1740.2,,,7.2,,
E-0011267,C[C@H](N)COc1ccc2c(c1)c1ccc(-c3cccnc3)cc1n2C,,151.0,,97.8,,,0.7,,
E-0011268,Cc1c2ccccc2cc2c3cc(OC[C@H](C)N)ccc3n(C)c12,,,,70.4,,,,,
E-0011270,C[C@H](N)COc1ccc2c(c1)c1cc(-c3ccncc3)ccc1n2C,,23.3,,190.1,,,0.8,,
E-0011271,Cc1c2ccccc2cc2c3cc(OCC4=NCCN4)ccc3n(C)c12,,24.9,8.7,658.4,,,,,
E-0011272,Cn1c2ccc(OCC(N)=O)cc2c2ccc(-c3cccnc3)cc21,,,,146.7,,,1.8,,
E-0011273,Cc1c2ccnc(C(=O)NCCN)c2cc2c3ccccc3n(C)c12,,,,441.4,,,1.9,,
E-0011276,C[C@H](N)COc1ccc2c(c1)c1ccc(-c3ccncc3)cc1n2C,,146.0,,104.0,,,0.7,,
E-0011277,Cc1c2ccncc2cc2c3cc(C(=O)NC[C@@H](C)N(C)C)ccc3n(C)c12,,152.0,12.2,263.2,,,3.5,,
E-0011278,Cn1c2ccc(OCC(N)=O)cc2c2ccc(-c3ccncc3)cc21,,174.0,,,,,22.6,,
E-0011279,Cc1c2ccncc2cc2c3cc(C(=O)N[C@@H](C)CN(C)C)ccc3n(C)c12,,171.0,11.3,456.7,,,3.9,,
E-0011280,Cn1c2ccc(OCC(N)=O)cc2c2nc3ccccc3nc21,,,120.4,288.6,,,0.9,,
E-0011282,Cn1c2ccc(OCCN3CCCCC3)cc2c2nc3ccccc3nc21,,157.0,17.6,1648.1,,,1.2,,
E-0011283,CCN(CC)CCOc1ccc2c(c1)c1nc3cnccc3nc1n2C,,190.0,10.1,535.2,,,22.3,,
E-0011285,Cc1c2ccncc2cc2c3cc(C(=O)NCC(N)=O)ccc3n(C)c12,,3.28,16.9,793.4,,,29.7,,
E-0011286,Cc1c2ccncc2cc2c3cc(C(=O)N[C@@H](C)C(N)=O)ccc3n(C)c12,,0.292,17.9,774.6,,,60.0,,
E-0011287,Cc1c2ccccc2cc2c3cc(OCC(N)=O)ccc3n(C)c12,,,19.2,99.3,,,2.3,,
E-0011288,Cc1c2ccncc2cc2c3cc(C(=O)N[C@H](C)C(N)=O)ccc3n(C)c12,,6.22,15.3,613.7,,,3.4,,
E-0011289,COC(C)(C)CNC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,,71.6,101.6,1604.0,,,1.1,,
E-0011290,CCN(CC)CCCOc1ccc2c(c1)c1nc3cnccc3nc1n2C,,165.0,10.8,569.9,,,16.6,,
E-0011291,Cn1c2ccc(OCC(N)=O)cc2c2nc3cnccc3cc21,,5.72,41.2,1661.1,,,1.7,,
E-0011292,Cn1c2ccc(OCCN3CCCCC3)cc2c2nc3cnccc3cc21,,131.0,12.0,661.2,,,6.2,,
E-0011293,Cn1c2ccc(C(=O)NCCO)cc2c2nc3ccccc3nc21,,,17.5,394.3,,,1.8,,
E-0011294,COC1CCN(CCOc2ccc3c(c2)c2nc4cnccc4nc2n3C)CC1,,209.0,19.3,550.1,,,15.3,,
E-0011295,Cn1c2ccc(OCCN3CCC(F)CC3)cc2c2nc3cnccc3nc21,,126.0,44.7,1091.5,,,4.3,,
E-0011296,CN[C@@H](C)COc1ccc2c(c1)c1nc3cnccc3nc1n2C,,196.0,20.7,520.5,,,38.1,,
E-0011297,Cc1c2ccncc2cc2c3cc(C(=O)NC[C@H](C)N(C)C)ccc3n(C)c12,,156.0,16.3,300.4,,,8.2,,
E-0011298,Cc1c2ccncc2cc2c3cc(C(=O)NCCOC(C)(C)C)ccc3n(C)c12,,,273.2,7870.9,,,2.3,,
E-0011299,COCC(C)(C)NC(=O)c1ccc2c(c1)c1cc3cnccc3c(C)c1n2C,,18.2,481.1,8093.2,,,0.5,,
E-0011300,Cn1c2ccc(OCCN3CCCC3)cc2c2nc3cnccc3nc21,,238.0,10.5,594.2,,,22.3,,
E-0011301,Cn1c2ccc(OCCN3CCOCC3)cc2c2nc3cnccc3cc21,,133.0,14.9,1345.8,,,7.1,,
E-0011302,Cn1c2ccc(OCCCN3CCCCC3)cc2c2nc3cnccc3nc21,,206.0,18.3,597.5,,,10.3,,
E-0011303,Cn1c2ccc(OCCCCN3CCCCC3)cc2c2nc3cnccc3nc21,,197.0,20.4,802.8,,,13.5,,
E-0011304,C[C@H](N)COc1ccc2c(c1)c1cc(-c3ccccc3)ccc1n2C,,,,46.7,,,,,
E-0011305,COc1cccc(-c2cn(C)c3ccc(OCCCN4CCCC4)cc23)c1,2.7,56.6,23.3,4514.3,,,2.2,,
E-0011306,COc1cncc(-c2cn(C)c3ccc(OCCCN4CCCC4)cc23)c1,2.1,73.0,19.6,2654.8,,,8.4,,
E-0011307,C[C@H](N)COc1ccc2c(c1)c1ccc(-c3ccccc3)cc1n2C,,,,,,,0.2,,
E-0011308,CC(C)N[C@@H](C)COc1ccc2c(c1)c1nc3cnccc3nc1n2C,,175.0,17.9,821.9,,,22.8,,
E-0011309,CN1CCN=C1COc1ccc2c(c1)c1nc3cnccc3nc1n2C,,208.0,12.2,459.5,,,26.6,,
E-0011310,CCCN[C@@H](C)COc1ccc2c(c1)c1nc3cnccc3nc1n2C,,202.0,11.2,704.4,,,21.6,,
E-0011311,Cn1c2ccc(OCCCN3CCCC3)cc2c2nc3cnccc3nc21,,210.0,12.4,661.1,,,26.9,,
E-0011312,Cn1c2ccc(OCCCCN3CCCC3)cc2c2nc3cnccc3nc21,,220.0,13.5,747.4,,,17.1,,
E-0011313,C[C@@H](COc1ccc2c(c1)c1nc3cnccc3nc1n2C)N1CCCCC1,,207.0,18.7,964.7,,,20.8,,
E-0011314,C[C@H](N)COc1ccc2c(c1)c1nc3cnccc3cc1n2C,,236.0,8.9,300.3,,,20.4,,
E-0011315,Cn1c2ccc(OC[C@@H]3CCCN3)cc2c2nc3cnccc3nc21,,227.0,,428.3,,,26.4,,
E-0011316,Cn1cc(-c2cccnc2)c2cc(OCCCN3CCCC3)ccc21,1.9,55.0,22.9,4087.9,,,14.2,,
E-0011317,Cc1cc(C#N)cc2c3cc(OCCCN4CCCC4)ccc3n(C)c12,2.9,44.0,14.8,636.5,,,1.9,,
E-0011335,Cc1ccc(CNc2cc(-c3ccccc3)[nH]c(=O)n2)cc1,3.0,10.4,10.0,715.3,20.21,1.39,,,
E-0011365,COc1cccc(Nc2nc(-c3ccccc3)cs2)c1,,5.09,151.6,2121.2,2.02,1.15,,,
E-0011366,COc1ccc(-c2csc(Nc3ccccn3)n2)cc1,4.3,,101.2,2157.8,12.29,0.48,,,
E-0011626,Cc1c2ccncc2cc2c3cc(Oc4ccnc(N)c4)ccc3n(C)c12,,,79.5,833.2,,,0.3,,
E-0011627,Cc1c2ccncc2cc2c3cc(Oc4cccc(N)n4)ccc3n(C)c12,,,152.4,792.2,,,0.4,,
E-0011628,Cc1c2ccncc2cc2c3cc(Oc4ccccn4)ccc3n(C)c12,,,394.8,808.7,,,1.4,,
E-0011629,COCCNC(=O)c1ccc2c(c1)c1nc3cnccc3nc1n2C,,4.29,12.0,622.8,,,12.0,,
E-0011630,Cc1c2ccncc2cc2c3cc(Oc4ccncc4)ccc3n(C)c12,,,128.0,492.1,,,0.6,,
E-0011631,Cc1c2ccnc(C(=O)N[C@H](C)CN(C)C)c2cc2c3cc(F)c(F)cc3n(C)c12,,3.67,15.4,937.8,,,1.3,,
E-0011632,Cn1c2ccc(OCCNC3CCC(F)(F)CC3)cc2c2nc3cnccc3nc21,,168.0,34.3,718.4,,,3.7,,
E-0011633,Cc1c2ccnc(C(=O)NCCN)c2cc2c3cc(F)ccc3n(C)c12,,,,316.9,,,1.8,,
E-0011634,Cn1c2ccc(OCC(N)=O)cc2c2cc3ccccc3nc21,,,81.5,494.5,,,1.7,,
