Molecule Name,SMILES,LogD,KSOL,HLM CLint,MLM CLint,Caco-2 Permeability Papp A>B,Caco-2 Permeability Efflux,MPPB,MBPB,MGMB,LogD modifier,KSOL modifier,HLM CLint modifier,MLM CLint modifier,Caco-2 Permeability Papp A>B modifier,Caco-2 Permeability Efflux modifier,MPPB modifier,MBPB modifier,MGMB modifier,INCHIKEY
ASAP-0031351,CN(C1=CC=C2CNCC2=C1)[C@H](C(=O)NCC(F)F)C1=CC(Cl)=CC(C2CC2)=C1,1.6,172.0,17.1,10.6,,,,,,=,=,=,=,,,,,,
ASAP-0031379,COCC1=CC(Cl)=CC([C@H](NC2=CC=C3CNCC3=C2)C(=O)NCC(F)F)=C1,0.2,192.0,,,,,,,,=,=,,,,,,,,
ASAP-0031332,COC1=CC(C#N)=CC([C@H](NC2=CC=C3CNCC3=C2)C(=O)NCC(F)F)=C1,-0.4,381.0,,,,,,,,=,=,,,,,,,,
ASAP-0031390,O=C(NCC(F)F)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1CCC2,1.2,,,,,,,,,=,,,,,,,,,
ASAP-0031247,N#CC1=CC=CC(C2=NC3=C(C(=O)NC4=CC=C5CNCC5=C4)C=C(F)C=C3N2)=C1,2.0,3.0,,22.0,,,,,,=,=,,=,,,,,,
ASAP-0031237,O=C(NC1=CC=C2CNCC2=C1)C1=CC(F)=CC2=C1N=C(C1=CC=C(F)C=C1)N2,2.9,6.0,,36.8,,,,,,=,=,,=,,,,,,
ASAP-0031274,O=C(NC1=CC2=C(CNC2)C(C2=CNC(=O)C(F)=C2)=C1)C1=CC(F)=CC2=C1C=NN2,0.4,66.0,,243.0,,,,,,=,=,,=,,,,,,
ASAP-0031265,N#CC1=CC2=C(C=C1NC(=O)C1=CC(F)=CC3=C1C=NN3)CNC2,0.6,193.0,16.7,288.0,,,,,,=,=,=,=,,,,,,
ASAP-0031147,O=C(NC1=CC2=C(CNC2)C(C2=CCOCC2)=C1)C1=CC(F)=CC2=C1C=NN2,0.9,157.0,,152.0,,,,,,=,=,,=,,,,,,
ASAP-0031157,CO[C@H]1C[C@H](N2N=CC3=C(C(=O)NC4=CC=C5CNCC5=C4)C=C(Cl)C=C32)C1,1.5,340.0,,,,,,,,=,=,,,,,,,,
ASAP-0031155,O=C(NC1=CC2=C(CNC2)C(C2=CCS(=O)(=O)CC2)=C1)C1=CC(F)=CC2=C1C=NN2,-0.1,141.0,,96.9,,,,,,=,=,,=,,,,,,
ASAP-0031141,COC1=CC(C2=CC(NC(=O)C3=CC(F)=CC4=C3C=NN4)=CC3=C2CNC3)=CC=N1,2.0,180.0,,260.0,,,,,,=,=,,=,,,,,,
ASAP-0031137,O=C(NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1C=NN2C1CCC1,2.0,172.0,,13.4,,,,,,=,=,,=,,,,,,
ASAP-0031203,CC(C)N1C=C2C(C(=O)NC3=CC=C4CNCC4=C3)=CC(Cl)=CC2=N1,1.6,181.0,,,,,,,,=,=,,,,,,,,
ASAP-0031031,CCCCNC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1,2.3,379.0,,,,,,,,=,=,,,,,,,,
ASAP-0031004,O=C(NC1=CC=C2CNCC2=C1)C1=CC(F)=CC(C2=CNN=C2)=C1,0.7,184.0,36.3,553.0,,,,,,=,=,=,=,,,,,,
ASAP-0031019,O=C(NC1=CC2=C(C=C1C1CC1)CNC2)C1=CC(F)=CC2=C1C=NN2,0.7,189.0,,86.8,,,,,,=,=,,=,,,,,,
ASAP-0031092,CNC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1N=C(C1=CC=CC=C1)N2,1.8,178.0,,,,,,,,=,=,,,,,,,,
ASAP-0031104,O=C(NCCCF)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1,1.2,394.0,,,,,,,,=,=,,,,,,,,
ASAP-0030775,O=C(NCC(F)F)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1,1.3,326.0,,,,,,,,=,=,,,,,,,,
ASAP-0030761,COCCNC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1,1.0,320.0,19.7,11.7,,,,,,=,=,=,=,,,,,,
ASAP-0030776,O=C(NCC(F)F)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1,1.4,139.0,,,,,,,,=,=,,,,,,,,
ASAP-0030792,O=C(NC1=CC(Br)=C2CNCC2=C1)C1=CC(F)=CC2=C1C=NN2,1.8,4.0,13.6,145.0,,,,,,=,=,=,=,,,,,,
ASAP-0030826,CC(C)NC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1N=C(C1=CC=CC=C1)N2,2.9,154.0,23.2,,,,,,,=,=,=,,,,,,,
ASAP-0030065,O=C1CC2=C(C=C(F)C=C2C(=O)NC2=CC=C3CNCC3=C2)N1,-0.2,368.0,,,,,,,,=,=,,,,,,,,
ASAP-0030071,C=CC[C@H]1NCC2=CC(NC(=O)C3=CC(F)=CC4=C3C=NN4)=CC=C21,1.7,356.0,,,,,,,,=,=,,,,,,,,
ASAP-0030106,O=C(NC1=CC=C2CNCC2=C1)C1=CC(F)=CC2=C1CCC2,1.2,187.0,,37.4,,,,,,=,=,,=,,,,,,
ASAP-0030104,CN1C=C2C(C(=O)NC3=CC=C4CNCC4=C3)=CC(F)=CC2=N1,0.2,309.0,,18.2,,,,,,=,=,,=,,,,,,
ASAP-0030085,O=C(NC1=CC2=C(C=C1Br)CNC2)C1=CC(F)=CC2=C1C=NN2,1.1,47.0,11.4,299.0,,,,,,=,=,=,=,,,,,,
ASAP-0030028,O=C(NC1=CC=C2CNCC2=C1)C1=CC=CC2=C1C=C(C(F)(F)F)N2,1.5,372.0,14.1,12.7,,,,,,=,=,=,=,,,,,,
ASAP-0029950,O=C1CC2=CC(C(=O)NC3=CC=C4CNCC4=C3)=CC=C2N1,,136.0,,,,,,,,,=,,,,,,,,
ASAP-0029933,CN1C(=O)NC2=C(C(=O)NC3=CC=C4CNCC4=C3)C=C(Br)C=C21,0.5,161.0,,12.5,,,,,,=,=,,=,,,,,,
ASAP-0029911,O=C(NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1NN=C2,1.2,184.0,,54.0,,,,,,=,=,,=,,,,,,
ASAP-0029790,CC1=C(C(=O)NC2=CC(C3=CC=CN=C3)=CC=N2)C=C(C2CC2)N1C,,176.0,,388.0,,,,,,,=,,=,,,,,,
ASAP-0029645,N#CCCNC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1,0.6,374.0,,,,,,,,=,=,,,,,,,,
ASAP-0029621,CNC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1,0.9,358.0,,,,,,,,=,=,,,,,,,,
ASAP-0029711,O=C(NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=CC=NC=C12,0.6,181.0,,24.5,,,,,,=,=,,=,,,,,,
ASAP-0029521,CC1=C(C(=O)NC2=CC([C@H]3CCOC3)=CC=N2)C=C(C2CC2)N1C,3.0,,57.7,,,,,,,=,,=,,,,,,,
ASAP-0029491,O=C(NCC(F)F)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC(C2CC2)=C1,1.6,367.0,,,,,,,,=,=,,,,,,,,
ASAP-0029497,O=C(NC1=CC=C2CNCC2=C1)C1=CC(F)=CC2=C1C=NN2,,,,180.0,,,,,,,,,=,,,,,,
ASAP-0029303,COC1=CC=CC=C1[C@@H]1C[C@H](C)CCN1C(=O)CC1=CN=CC2=CC=CC=C12,,218.0,,,,,,,,,=,,,,,,,,
ASAP-0029289,O=C(CC1=CN=CC2=CC=CC=C12)N1[C@H]2CC[C@H]1C1=NC=CC=C12,,377.0,,,,,,,,,=,,,,,,,,
ASAP-0029293,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@@H](OC2=CC=C(F)C=C2)C1,,324.0,,,,,,,,,=,,,,,,,,
ASAP-0029276,C[C@H](F)[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12,,383.0,,,,,,,,,=,,,,,,,,
ASAP-0029337,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](C2=CC=CC(F)=C2)C1,,360.0,,,,,,,,,=,,,,,,,,
ASAP-0029313,CO[C@]1(C(F)(F)F)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1,,380.0,,,,,,,,,=,,,,,,,,
ASAP-0029315,CC(C)C1=NC([C@H]2CCCN(C(=O)CC3=CN=CC4=CC=CC=C34)C2)=NO1,,380.0,,,,,,,,,=,,,,,,,,
ASAP-0029319,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(N2C(=O)NC3=CC=CC=C32)CC1,,371.0,,,,,,,,,=,,,,,,,,
ASAP-0029333,N#CC1(C2=CC=CC=C2)CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,,14.0,,,,,,,,,=,,,,,,,,
ASAP-0029324,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@]2(C=CC3=CC=CC=C3O2)C1,,266.0,,,,,,,,,=,,,,,,,,
ASAP-0029300,CN1C=C([C@H]2CCCN2C(=O)CC2=CN=CC3=CC=CC=C23)C(C(F)F)=N1,,386.0,,,,,,,,,=,,,,,,,,
ASAP-0029271,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CC=CCO2)C1,,382.0,,,,,,,,,=,,,,,,,,
ASAP-0029282,CNS(=O)(=O)[C@H]1CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1,,380.0,,,,,,,,,=,,,,,,,,
ASAP-0029335,O=C1C[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)C[C@H]2N1,,377.0,,,,,,,,,=,,,,,,,,
ASAP-0029356,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC(C[C@H]2CCCOC2)CC1,,380.0,,,,,,,,,=,,,,,,,,
ASAP-0029363,CC[C@H]1C[C@@H](C(F)(F)F)CCN1C(=O)CC1=CN=CC2=CC=CC=C12,,219.0,,,,,,,,,=,,,,,,,,
ASAP-0029343,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2CCC(F)(F)C[C@H]2C1,,374.0,,,,,,,,,=,,,,,,,,
ASAP-0029346,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@]2(CCCC3=CC=CC=C32)C1,,314.0,,,,,,,,,=,,,,,,,,
ASAP-0029348,CNC(=O)CC1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)CC1,,381.0,,,,,,,,,=,,,,,,,,
ASAP-0029352,O=C(NC1=CC=C2CNCC2=C1)C1=CC(Br)=CC2=C1N=C(C1=CC=CC=C1)N2,3.6,,12.8,43.8,,,,,,=,,=,=,,,,,,
ASAP-0029353,C[C@H]1CCN(C(=O)CC2=CN=CC3=CC=CC=C23)[C@@H](C2CCOCC2)C1,,377.0,,,,,,,,,=,,,,,,,,
ASAP-0029339,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H](C2=NN=C3C=CC=CN23)C1,,393.0,,,,,,,,,=,,,,,,,,
ASAP-0029358,CN1N=CC=C1[C@H]1CCCN1C(=O)CC1=CN=CC2=CC=CC=C12,,379.0,,,,,,,,,=,,,,,,,,
ASAP-0029378,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H]2OCC[C@H]2C1,,386.0,,,,,,,,,=,,,,,,,,
ASAP-0029342,C[C@]1(C2=CC=CC=C2)CCCN(C(=O)CC2=CN=CC3=CC=CC=C23)C1,,350.0,,,,,,,,,=,,,,,,,,
ASAP-0029380,O=C1N[C@H]2CCN(C(=O)CC3=CN=CC4=CC=CC=C34)[C@H]1C2,,389.0,,,,,,,,,=,,,,,,,,
ASAP-0029364,O=C(CC1=CN=CC2=CC=CC=C12)N1CC[C@H](OC2=CC=C(F)C(F)=C2)C1,,355.0,,,,,,,,,=,,,,,,,,
ASAP-0029366,CNC(=O)[C@H]1CC12CCN(C(=O)CC1=CN=CC3=CC=CC=C13)CC2,,366.0,,,,,,,,,=,,,,,,,,
ASAP-0029365,O=C(CC1=CN=CC2=CC=CC=C12)N1CCC[C@H]1C=CC1=CC=CS1,,361.0,,,,,,,,,=,,,,,,,,
ASAP-0029208,O=C1CC2=C(C=CC=C2C(=O)NC2=CC=C3CNCC3=C2)N1,0.3,152.0,,,,,,,,=,=,,,,,,,,
ASAP-0029000,CC(C)NC(=O)[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1C=NN2,0.5,311.0,,,,,,,,=,=,,,,,,,,
ASAP-0029002,O=C(NC1=CC=C2CNCC2=C1)C1=CC(Br)=CC2=C1C=CN2,,,,34.3,,,,,,,,,=,,,,,,
ASAP-0029051,O=C(NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1CCC2,1.8,335.0,,,,,,,,=,=,,,,,,,,
ASAP-0029092,CN1N=CC2=C(C(=O)NC3=CC=C4CNCC4=C3)C=C(Br)C=C21,1.0,392.0,,,,,,,,=,=,,,,,,,,
ASAP-0028981,CNC(=O)[C@H](NC1=CC(CN)=CC(C(=O)O)=C1)C1=CC(Cl)=CC(C2CC2)=C1,0.0,335.0,,,,,,,,=,=,,,,,,,,
ASAP-0028990,OCC#C[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1C=NN2,0.5,135.0,,,,,,,,=,=,,,,,,,,
ASAP-0028904,N#C[C@H](NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1C=NN2,0.9,297.0,10.3,,,,,,,=,=,=,,,,,,,
ASAP-0028903,CNC(=O)[C@H](NC1=CC(CN)=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC(C2CC2)=C1,1.5,352.0,,,,,,,,=,=,,,,,,,,
ASAP-0027928,O=C(NC1=CC(Cl)=CC([C@H]2CN(CC3=CC=CC=C3)C[C@@H]2C2=CC=CC(C3=NNN=N3)=C2)=C1)OCC1=CC=CC=C1,4.1,,46.3,,,,,,,=,,=,,,,,,,
ASAP-0027972,ClC1=CC=C2NC=C(CC3=CC=C(C4=NNN=N4)C=C3)C2=C1,2.1,,,,,,,,,=,,,,,,,,,
ASAP-0027989,O=C(NC1=CC(Cl)=CC([C@H](NC2=CC=CC(C3=NNN=N3)=C2)C(=O)NCC2=CC=CC=C2)=C1)OCC1=CC=CC=C1,3.7,,,,,,,,,=,,,,,,,,,
ASAP-0027983,C=CC[C@H](NC1=CC=C(C2=NNN=N2)C=C1)C1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1,3.9,,10.1,,,,,,,=,,=,,,,,,,
ASAP-0027959,CNC(=O)[C@H](NC1=CC=C(C2=NN=NN2)C=C1)C1=CC(Cl)=CC(C2CC2)=C1,1.1,,,,,,,,,=,,,,,,,,,
ASAP-0027847,CC1=CC=CC=C1C1=NN=C(SC2=CC(C3=CC=CC=C3)=NC3=NC=NN23)O1,3.7,7.0,,,,,,,,=,=,,,,,,,,
ASAP-0027872,CCN1C(C)=NN=C1SC1=CC(C)=NC2=NC=NN12,-0.5,348.0,16.5,10.0,,,,,,=,=,=,=,,,,,,
ASAP-0027864,CC1=NC2=NC=NN2C(SC2=NN=C(C)O2)=C1,0.1,356.0,182.0,151.0,,,,,,=,=,=,=,,,,,,
ASAP-0027858,ClC1=CC=CC(C2=NN=C(SC3=CC(C4=CC=CC=C4)=NC4=NC=NN34)O2)=C1,4.1,,,,,,,,,=,,,,,,,,,
ASAP-0027841,CC1=NN=C(SC2=CC(C3=CC=CC=C3)=NC3=NC=NN23)O1,1.8,60.0,,465.0,,,,,,=,=,,=,,,,,,
ASAP-0027845,COC1=CC=C(C2=NN=C(SC3=CC(C)=NC4=NC=NN34)O2)C=C1,2.4,7.0,141.0,586.0,,,,,,=,=,=,=,,,,,,
ASAP-0027839,O=C(NC1=CC(Cl)=CC(C2=CC=C3NC(C(=O)O)=CC3=C2)=C1)OCC1=CC=CC=C1,3.7,356.0,,,,,,,,=,=,,,,,,,,
ASAP-0027846,O=C(O)CN1N=CC2=CC(C3=CC(Cl)=CC(NC(=O)OCC4=CC=CC=C4)=C3)=CC=C21,2.6,131.0,,,,,,,,=,=,,,,,,,,
ASAP-0027823,C=CC[C@H](NC1=CC=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1,4.1,332.0,65.5,,,,,,,=,=,=,,,,,,,
ASAP-0027763,C1=CC=C(C2=NC3=NC=NN3C(SC3=NN=C(N4CCOCC4)S3)=C2)C=C1,2.1,4.0,290.0,624.0,,,,,,=,=,=,=,,,,,,
ASAP-0027787,O=S(=O)(NCCC1=NC=CC(O)=N1)N1CCNCC1,,349.0,,,,,,,,,=,,,,,,,,
ASAP-0027741,N#C[C@H](NC1=CC=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1,3.2,344.0,13.6,,,,,,,=,=,=,,,,,,,
ASAP-0027808,O=C(NC1=CC=C2CNCC2=C1)C1=CC(Cl)=CC2=C1C=NN2,0.9,279.0,,243.0,,,,,,=,=,,=,,,,,,
ASAP-0027804,N#C[C@H](NC1=CC=CC(C(=O)O)=C1)C1=CC(Cl)=CC2=C1C=NN2,0.6,112.0,12.0,,,,,,,=,=,=,,,,,,,
ASAP-0027768,NCC1=CC(C(=O)O)=CC([C@@H]2C[C@H]2C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)=C1,2.7,52.0,,,,,,,,=,=,,,,,,,,
ASAP-0027762,CNCC1=NC2=NC=NN2C(SC2=NN=C(C3=CC=C(Cl)C=C3)N2C)=C1,0.7,356.0,0.0,0.0,,,,,,=,=,=,=,,,,,,
ASAP-0027759,CNC(=O)[C@H](NC1=CC(Cl)=CC(NC(=O)OCC2=CC=CC=C2)=C1)C1=CC=CC(C2=NNN=N2)=C1,2.2,333.0,21.3,,,,,,,=,=,=,,,,,,,
ASAP-0027758,CNC(=O)[C@H](NC1=CC=CC(C2=NNN=N2)=C1)C1=CC(Cl)=CC2=C1C=NN2,0.3,347.0,,,,,,,,=,=,,,,,,,,
ASAP-0027659,CC1=CSC(SC2=CC(C3=CC=CC=C3)=NC3=NC=NN23)=N1,2.9,6.0,,,,,,,,=,=,,,,,,,,
ASAP-0027661,COC1=CC=C(C2=NN=C(SC3=CC(C4=CC=CC=C4)=NC4=NC=NN34)N2C)C=C1,2.6,11.0,,,,,,,,=,=,,,,,,,,
ASAP-0027553,C1=CC=C(C2=NC3=NN=CN3C(SC3=NC(C4=CC=CC=N4)=NO3)=C2)C=C1,2.7,73.0,0.0,0.0,,,,,,=,=,=,=,,,,,,
ASAP-0023327,CCN1C(C)=NN=C1SC1=CC(C2=CC=CC=C2)=NC2=NC=NN12,1.4,283.0,35.1,20.1,,,,,,=,=,=,=,,,,,,
ASAP-0023462,O=C(O)COC1=CC=CC(NC(=O)C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)=C1,1.8,360.0,,,,,,,,=,=,,,,,,,,
ASAP-0023443,CN1C(SC2=CC(C3=NOC=C3)=NC3=NC=NN23)=NN=C1C1=CC=C(Cl)C=C1,2.0,8.0,,,,,,,,=,=,,,,,,,,
ASAP-0023493,CC1=CC=C(C2=NN=C(SC3=CC(C4=CC=CC=C4)=NC4=NC=NN34)O2)C=C1,4.3,,,,,,,,,=,,,,,,,,,
ASAP-0023517,ClC1=CC=C(C2=CN=C(SC3=CC(C4=CC=CC=C4)=NC4=NN=CN34)O2)C=C1,4.2,,25.2,27.1,,,,,,=,,=,=,,,,,,
ASAP-0023516,COC1=CC=CC(C2=NN=C(SC3=CC(C4=CC=CC=C4)=NC4=NC=NN34)O2)=C1,4.1,6.0,,,,,,,,=,=,,,,,,,,
ASAP-0023274,O=C(NC1=CC(Cl)=CC(C(=O)NC2=CC=CC(N3N=NNC3=O)=C2)=C1)OCC1=CC=CC=C1,3.8,107.0,11.2,,,,,,,=,=,=,,,,,,,
ASAP-0023270,O=C(NC1=CC(Cl)=CC(C(=O)NC2=CC=CC(C3=NN=NN3)=C2)=C1)OCC1=CC=CC=C1,3.7,65.0,,,,,,,,=,=,,,,,,,,
ASAP-0023164,CC1=CC=C2OC(SC3=CC(C4=CC=CC=C4)=NC4=NC=NN34)=NC2=C1,4.4,3.0,,,,,,,,=,=,,,,,,,,
ASAP-0023249,O=C(N[C@H]1[C@H]2CCCCC[C@H]2[C@H]1C(=O)NC1=CC=CC(C2CCNCC2)=C1)OCC1=CC=CC=C1,2.8,49.0,31.3,,,,,,,=,=,=,,,,,,,
ASAP-0023183,COC1=CC=C(C2=NN=C(SC3=CC(C4=CC=CC=C4)=NC4=NC=NN34)O2)C=C1,4.0,39.0,,,,,,,,=,=,,,,,,,,
ASAP-0023182,ClC1=CC=C(C2=NN=C(SC3=CC(C4=CC=CC=C4)=NC4=NC=NN34)O2)C=C1,4.2,2.0,,,,,,,,=,=,,,,,,,,
ASAP-0023266,CC[C@H](CC1=NN=NN1)C1=CC=C(NC(=O)C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)C=C1,4.1,60.0,24.9,,,,,,,=,=,=,,,,,,,
ASAP-0022872,CN1C(SC2=CC(C3=CC=CC=C3)=NC3=NC=NN23)=NN=C1C1=CC=NC=C1,1.4,21.0,174.0,130.0,,,,,,=,=,=,=,,,,,,
ASAP-0022831,C1=CC=C(C2=NC3=NC=NN3C(SC3=NC=CO3)=C2)C=C1,2.3,52.0,332.0,1040.0,,,,,,=,=,=,=,,,,,,
ASAP-0022679,CC(C)COC1=NOC2=CC(OCCCC3=CC(C(=O)N(C)C)=NO3)=CC=C12,4.4,11.0,41.1,99.8,,,,,,=,=,=,=,,,,,,
ASAP-0022579,CC(C)COC1=CC=C2C(OCCCC3=CC(C(=O)N(C)C)=NO3)=NOC2=C1,,15.0,95.1,68.5,,,,,,,=,=,=,,,,,,
ASAP-0022881,CC1=CC=C(C2=NN=C(SC3=CC(C4=CC=CC=C4)=NC4=NC=NN34)N2C)C=C1,3.0,7.0,238.0,120.0,,,,,,=,=,=,=,,,,,,
ASAP-0022528,CCC1=C(C2=CC=C(Cl)C=C2)SC(C(=O)NC2=CC=CC(CN)=C2)=C1,4.3,7.0,,,,,,,,=,=,,,,,,,,
ASAP-0022538,CC(C)C1=NC2=C(C(=O)NC3=CC=CC(CN)=C3)C=CC=C2N1,1.9,316.0,,,,,,,,=,=,,,,,,,,
ASAP-0022474,NCC1=CC=CC(NC(=O)C2=CC=CN3C=C(CN4CCCC4)N=C23)=C1,0.2,332.0,,,,,,,,=,=,,,,,,,,
ASAP-0021312,CN(C)C(=O)C1=NOC(CCCOC2=CC=C3C(OCC4CC4)=NOC3=C2)=C1,3.7,7.0,35.5,132.0,,,,,,=,=,=,=,,,,,,
ASAP-0021658,CCOC1=NOC2=CC(OCCCC3=CC(C(=O)N(C)C)=NO3)=CC=C12,3.5,18.0,31.2,140.0,,,,,,=,=,=,=,,,,,,
ASAP-0021134,CCOC1=NOC2=C(C)C(OCCCC3=CC(C(=O)N(C)C)=NO3)=CC=C12,4.0,25.0,97.1,418.0,,,,,,=,=,=,=,,,,,,
ASAP-0021262,CCOC1=NOC2=CC(OCCCC3=CC(C(=O)N(C)C)=NO3)=C(C)C=C12,4.0,7.0,46.4,166.0,,,,,,=,=,=,=,,,,,,
ASAP-0021119,CC1=CC=C(NC(=O)C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)C=C1CN,,,,,,,,,,,,,,,,,,,
ASAP-0021070,C#CCCC1=CC=C(OCCCC2=CC(C(=O)N(C)C)=NO2)C=C1,3.5,158.0,60.4,73.8,,,,,,=,=,=,=,,,,,,
ASAP-0021039,NCC1=CC=CC([C@H]2C[C@@H]2C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)=C1,,50.0,11.4,,,,,,,,=,=,,,,,,,
ASAP-0021061,O=C(NC1=CC(Cl)=CC(C(=O)NC2=NNC3=C2CNC3)=C1)OCC1=CC=CC=C1,,26.0,,,,,,,,,=,,,,,,,,
ASAP-0020849,NCC1=CC=CC(NC(=O)C2=CC(Cl)=CC(CN)=C2)=C1,-0.6,375.0,21.0,,,,,,,=,=,=,,,,,,,
ASAP-0020936,CN(C)C(=O)C1=NOC(CCCOC2=CC=CC(F)=C2)=C1,2.7,356.0,46.6,339.0,,,,,,=,=,=,=,,,,,,
ASAP-0020930,O=C1NC(=O)[C@H](CC2=NC3=C(COCC3)S2)C2=CC=CC=C12,0.6,356.0,20.3,67.5,,,,,,=,=,=,=,,,,,,
ASAP-0020875,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1COCCC1=CC(C(=O)N(C)C)=NO1,3.5,68.0,36.5,78.9,,,,,,=,=,=,=,,,,,,
ASAP-0020904,C#CCCCCC1=CC=C(OCCCC2=CC(C(=O)N(C)C)=NO2)C=C1,4.4,4.0,79.9,139.0,,,,,,=,=,=,=,,,,,,
ASAP-0020843,CN(C)C(=O)C1=NOC(CCCOC2=CC=C(F)C=C2)=C1,2.6,208.0,42.6,281.0,,,,,,=,=,=,=,,,,,,
